Date,Domain,SSP_Dash,SSP_Impressions,SSP,SSP Dash,SSP Impr
2025-05-17,betabrand.com,0.0,1.0,PubMatic,,
2025-05-17,americanmetalroofs.com,0.14,106.0,PubMatic,,
2025-05-17,avon.com,0.0,1.0,PubMatic,,
2025-05-17,dialsoap.com,0.0,3.0,PubMatic,,
2025-05-17,salvationarmyusa.org,0.0,4.0,PubMatic,,
2025-05-17,chrysler.com,0.01,27.0,PubMatic,,
2025-05-17,twomenandatruck.com,0.01,9.0,PubMatic,,
2025-05-17,pictureframes.com,0.0,1.0,PubMatic,,
2025-05-17,kingsdominion.com,0.0,4.0,PubMatic,,
2025-05-17,mypilotstore.com,0.0,0.0,PubMatic,,
2025-05-17,bobevans.com,0.0,0.0,PubMatic,,
2025-05-17,walgreens.com,0.76,712.0,PubMatic,,
2025-05-17,storage-mart.com,0.0,3.0,PubMatic,,
2025-05-17,nycballet.com,0.0,0.0,PubMatic,,
2025-05-17,carrefour.com.ar,0.0,0.0,PubMatic,,
2025-05-17,onstar.com,0.0,1.0,PubMatic,,
2025-05-17,megabus.com,0.01,6.0,PubMatic,,
2025-05-17,microsoft.com,5.11,1413.0,PubMatic,,
2025-05-17,bmwusa.com,0.0,3.0,PubMatic,,
2025-05-17,marriott.com,0.34,210.0,PubMatic,,
2025-05-17,nfib.com,2.65,290.0,PubMatic,,
2025-05-17,redroof.com,0.0,2.0,PubMatic,,
2025-05-17,sixflags.com,0.07,122.0,PubMatic,,
2025-05-17,uscellular.com,0.0,1.0,PubMatic,,
2025-05-17,mediacomcable.com,0.02,19.0,PubMatic,,
2025-05-17,buyatoyota.com,0.47,490.0,PubMatic,,
2025-05-17,dole.com,0.0,0.0,PubMatic,,
2025-05-17,autodesk.com,0.2,138.0,PubMatic,,
2025-05-17,hyatt.com,0.47,353.0,PubMatic,,
2025-05-17,shangri-la.com,0.01,2.0,PubMatic,,
2025-05-17,puma.com,0.07,80.0,PubMatic,,
2025-05-17,finishline.com,0.0,4.0,PubMatic,,
2025-05-17,michelinman.com,0.03,46.0,PubMatic,,
2025-05-17,huggies.com,0.08,22.0,PubMatic,,
2025-05-17,froedtert.com,0.07,17.0,PubMatic,,
2025-05-17,starbucks.com,0.05,62.0,PubMatic,,
2025-05-17,aaa.com,16.5,12701.0,PubMatic,,
2025-05-17,baycare.org,0.12,54.0,PubMatic,,
2025-05-17,cox.com,63.7,16875.0,PubMatic,,
2025-05-17,aetherapparel.com,0.0,1.0,PubMatic,,
2025-05-17,mcdonalds.com,0.06,155.0,PubMatic,,
2025-05-17,visitokc.com,0.0,4.0,PubMatic,,
2025-05-17,lionking.com,0.01,8.0,PubMatic,,
2025-05-17,toyota.com,12.19,22918.0,PubMatic,,
2025-05-17,serviceexperts.com,0.08,38.0,PubMatic,,
2025-05-17,telekom.de,0.0,0.0,PubMatic,,
2025-05-17,anntaylor.com,0.0,1.0,PubMatic,,
2025-05-17,greenmountaincoffee.com,0.26,566.0,PubMatic,,
2025-05-17,masterlock.com,0.26,574.0,PubMatic,,
2025-05-17,hertz.com,0.24,479.0,PubMatic,,
2025-05-17,teamviewer.com,0.0,1.0,PubMatic,,
2025-05-17,ashleyfurniturehomestore.com,0.0,5.0,PubMatic,,
2025-05-17,broadmoor.com,0.02,7.0,PubMatic,,
2025-05-17,vitamix.com,0.03,24.0,PubMatic,,
2025-05-17,jclicht.com,0.02,13.0,PubMatic,,
2025-05-17,autonation.com,0.0,0.0,PubMatic,,
2025-05-17,sealy.com,0.1,331.0,PubMatic,,
2025-05-17,victoriassecret.com,0.0,0.0,PubMatic,,
2025-05-17,tommy.com,0.02,15.0,PubMatic,,
2025-05-17,copart.com,0.16,180.0,PubMatic,,
2025-05-17,statefarm.com,0.06,27.0,PubMatic,,
2025-05-17,havaianas.com,0.0,0.0,PubMatic,,
2025-05-17,colonialwilliamsburg.com,0.02,7.0,PubMatic,,
2025-05-17,nintendo.com,0.0,1.0,PubMatic,,
2025-05-17,splunk.com,0.0,0.0,PubMatic,,
